"4HCNK","https://www.cdw.com/shop/products/DELL-LAT-7480-I5-7300-256GB-8GB-W10P/4852989.aspx?pfm=srh","DELL LAT 7480 I5-7300 256GB 8GB W10P","Dell","4852989","Core i5 7300U / 2.6 GHzWin 10 Pro 64-bit8 GB RAM256 GB SSD14"" touchscreen 1920 x 1080 (Full HD)HD Graphics 620Wi-Fi","$1,509.99","$1,269.99","https://webobjects2.cdw.com/is/image/CDW/4457459?$product-main$","4HCNK.jpg","8.7 in","0.7 in","3 lbs","13 in"
"3000014091610","https://www.cdw.com/shop/products/Dell-OptiPlex-7450-All-In-One/4779544.aspx?pfm=srh","Dell OptiPlex 7450 All In One","Dell","4779544","null","Call","$549.99","https://webobjects2.cdw.com/is/image/CDW/4632934?$product-main$","3000014091610.jpg","null","null","null","null"
"10NY000WUS","https://www.cdw.com/shop/products/LVO-TC-M810Z-I7-6700-256GB-8GB-W7P/4855084.aspx?pfm=srh","LVO TC M810Z I7-6700 256GB 8GB W7P (","Lenovo","4855084","All-in-onewith UltraFlex II Stand1 x Core i7 6700 / 3.4 GHzRAM 8 GBSSD 256 GBNVMeDVD-Writer","$1,225.99","$1,039.99","https://webobjects2.cdw.com/is/image/CDW/4606721?$product-main$","10NY000WUS.jpg","10 in","19.3 in","18.3 lbs","21.1 in"
"80YS0003US","https://www.cdw.com/shop/products/LVO-TP-N23-N3060-16GB-4GB-CHROME-BS/4814859.aspx?pfm=srh","LVO TP N23 N3060 16GB 4GB CHROME (BS","Lenovo","4814859","Celeron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC11.6"" TN 1366 x 768 (HD)HD Graphics 400Wi-Fi","$224.99","$164.99","https://webobjects2.cdw.com/is/image/CDW/4439334?$product-main$","80YS0003US.jpg","8.2 in","0.9 in","2.76 lbs","11.5 in"
"2TD13US#ABA","https://www.cdw.com/shop/products/HP-800-G3-I5-7500-500GB-8GB-BSTK/4816832.aspx?pfm=srh","HP 800 G3 I5-7500 500GB 8GB (BSTK)","HP Inc","4816832","null","$1,387.99","$529.99","https://webobjects2.cdw.com/is/image/CDW/4735690?$product-main$","2TD13US#ABA.jpg","null","null","null","null"
"10FM0026US","https://www.cdw.com/shop/products/LVO-TS-TC-M900-I5-6500T-128GB-8GB-B/4853389.aspx?pfm=srh","LVO TS TC M900 I5-6500T 128GB 8GB (B","Lenovo","4853389","Tiny desktop1 x Core i5 6500T / 2.5 GHzRAM 8 GBSSD 128 GBHD Graphics 530GigEWLAN: 802.11a/b/g/n/ac","Call","$644.99","https://webobjects2.cdw.com/is/image/CDW/3954888?$product-main$","10FM0026US.jpg","7.2 in","1.4 in","2.87 lbs","7 in"
"MK442LL/A","https://www.cdw.com/shop/products/APPLE-IMAC-21.5in-2.8QC-1TB-8GB-BSTK/4813765.aspx?pfm=srh","APPLE IMAC 21.5"" 2.8QC 1TB 8GB (BSTK","Apple","4813765","All-in-one1 x Core i5 2.8 GHzRAM 8 GBHDD 1 TBIris Pro Graphics 6200GigEWLAN: Bluetooth 4.0","$1,248.99","$1,008.99","https://webobjects2.cdw.com/is/image/CDW/3868759?$product-main$","MK442LL/A.jpg","6.9 in","17.7 in","12.52 lbs","20.8 in"
"80YS000CUS","https://www.cdw.com/shop/products/LVO-N23-11-N3060-16-4GB-TOUCH-CHROME/4845643.aspx?pfm=srh","LVO N23 11 N3060 16/4GB TOUCH CHROME","Lenovo","4845643","Celeron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC11.6"" IPS touchscreen 1366 x 768 (HD)HD Graphics 400Wi-Fi","$276.99","$242.99","https://webobjects2.cdw.com/is/image/CDW/4439337?$product-main$","80YS000CUS.jpg","8.2 in","0.9 in","2.76 lbs","11.5 in"
"2TD13US#ABA","https://www.cdw.com/shop/products/HP-800-G3-I5-7500-500GB-8GB-BSTK/4816892.aspx?pfm=srh","HP 800 G3 I5-7500 500GB 8GB (BSTK)","HP Inc","4816892","null","$1,387.99","$529.99","https://webobjects2.cdw.com/is/image/CDW/4735690?$product-main$","2TD13US#ABA.jpg","null","null","null","null"
"20HY0000US","https://www.cdw.com/shop/products/LVO-TP-11E-G4-N3450-32GB-4GB-CHROME/4834889.aspx?pfm=srh","LVO TP 11E G4 N3450 32GB 4GB CHROME","Lenovo","4834889","Flip designCeleron N3450 / 1.1 GHzChrome OS4 GB RAM32 GB eMMC11.6"" IPS touchscreen 1366 x 768 (HD)HD Graphics 500","$451.99","$389.99","https://webobjects2.cdw.com/is/image/CDW/4572514?$product-main$","20HY0000US.jpg","8.3 in","0.9 in","3.51 lbs","11.8 in"
"20HY0000US","https://www.cdw.com/shop/products/LVO-TP-11E-G4-N3450-32GB-4GB-CHROME/4835147.aspx?pfm=srh","LVO TP 11E G4 N3450 32GB 4GB CHROME","Lenovo","4835147","Flip designCeleron N3450 / 1.1 GHzChrome OS4 GB RAM32 GB eMMC11.6"" IPS touchscreen 1366 x 768 (HD)HD Graphics 500","$451.99","$389.99","https://webobjects2.cdw.com/is/image/CDW/4572514?$product-main$","20HY0000US.jpg","8.3 in","0.9 in","3.51 lbs","11.8 in"
