"GK42-202510-000","https://www.cdw.com/shop/products/ZEBRA-GK420-DT-203DPI-U-S-CP-EPL-ZPL/4842857.aspx?pfm=srh","ZEBRA GK420 DT 203DPI U/S/CP EPL/ZPL","Zebra","4842857","Label PrinterPrinter Technology: Direct ThermalMonochromeRoll (4.25 in)Printer Resolution: 203 dpiPrint Speed up to 300 inch/minUSB","$357.00","$316.99","https://webobjects2.cdw.com/is/image/CDW/2461799?$product-main$","GK42-202510-000.jpg","8.2 in","6 in","3.09 lbs","4.09 in"
"23MB35PM-B","https://www.cdw.com/shop/products/LG-23MB35PM-B-23in-WIDE-LED-BSTK/4815725.aspx?pfm=srh","LG 23MB35PM-B 23"" WIDE LED (BSTK)","LG","4815725","LED monitor23""1920 x 1080IPS250 cd/m21000:15000000:1 (dynamic)","$149.99","$106.99","https://webobjects2.cdw.com/is/image/CDW/3266938?$product-main$","23MB35PM-B.jpg","2.4 in","13.2 in","9.3 lbs","21.6 in"
"U3415W","https://www.cdw.com/shop/products/DELL-U3415W-34in-21-9-IPS-60HZ-CURVED/4849708.aspx?pfm=srh","DELL U3415W 34"" 21:9 IPS 60HZ CURVED","Dell","4849708","LED monitorcurved34.08"" (34.08"" viewable)3440 x 1440 QHDIPS300 cd/m²1000:1","$845.99","$748.99","https://webobjects2.cdw.com/is/image/CDW/3860104?$product-main$","U3415W.jpg","2.9 in","14.6 in","18.6 lbs","32.5 in"
"MK5145-31B41","https://www.cdw.com/shop/products/HNY-METROLOG-MS5145-ECLIPSE-KIT-BLK/4835596.aspx?pfm=srh","HNY METROLOG MS5145 ECLIPSE KIT BLK","Honeywell","4835596","Barcode scannerhandheld72 line / secdecodedRS-232","$99.99","$76.99","https://webobjects2.cdw.com/is/image/CDW/1671795?$product-main$","MK5145-31B41.jpg","6.7 in","2 in","3.53 oz","4 mil"
"T8Z04UT#ABA","https://www.cdw.com/shop/products/HP-SB-X2-1012-M5-6Y54-128GB-4GB-W10P/4847749.aspx?pfm=srh","HP SB X2 1012 M5-6Y54 128GB 4GB W10P","HP Inc","4847749","Tabletwith detachable keyboardCore m5 6Y54 / 1.1 GHzWin 10 Pro 64-bit4 GB RAM128 GB SSD12"" IPS touchscreen 1920 x 1280","$1,057.99","$914.99","https://webobjects2.cdw.com/is/image/CDW/3911010?$product-main$","T8Z04UT#ABA.jpg","8.4 in","0.3 in","28.9 oz","11.8 in"
"V423","https://www.cdw.com/shop/products/NEC-42in-LED-LCD-DISPLAY-V423-BSTK/4803940.aspx?pfm=srh","NEC 42"" LED LCD DISPLAY V423 (BSTK)","NEC","4803940","42"" ClassV Series LED display1080p (Full HD) 1920 x 1080edge-lit","$829.00","$457.99","https://webobjects2.cdw.com/is/image/CDW/2972300?$product-main$","V423.jpg","2.7 in","22.3 in","37 lbs","38.3 in"
"DT00911-DL","https://www.cdw.com/shop/products/DIAMOND-LAMP-HITACHI-DT00911-BSTK/4804641.aspx?pfm=srh","DIAMOND LAMP HITACHI DT00911 (BSTK)","Just Lamps","4804641","Projector lamp (equivalent to: DT00911)220 Watt3000 hour(s)for Hitachi ED-X31ED-X32ED-X33; CP-WX410X201","$185.99","$89.00","https://webobjects2.cdw.com/is/image/CDW/4375830?$product-main$","DT00911-DL.jpg","null","null","null","null"
"PM55F","https://www.cdw.com/shop/products/SAM-PMF-55IN-FHD-24-7-500NIT-TIZEN/4829713.aspx?pfm=srh","SAM PMF 55IN FHD 24/7 500NIT TIZEN (","Samsung","4829713","55"" ClassPHF Series LED displaydigital signage1080p (Full HD) 1920 x 1080edge-lit","$1,963.00","$1,235.99","https://webobjects2.cdw.com/is/image/CDW/4290927?$product-main$","PM55F.jpg","1.1 in","27.6 in","null","48.4 in"
"23MB35PM-B","https://www.cdw.com/shop/products/LG-23MB35PM-B-23in-WIDE-LED-BSTK/4815750.aspx?pfm=srh","LG 23MB35PM-B 23"" WIDE LED (BSTK)","LG","4815750","LED monitor23""1920 x 1080IPS250 cd/m21000:15000000:1 (dynamic)","$149.99","$106.99","https://webobjects2.cdw.com/is/image/CDW/3266938?$product-main$","23MB35PM-B.jpg","2.4 in","13.2 in","9.3 lbs","21.6 in"
"SDSSDXPS-480G-G25","https://www.cdw.com/shop/products/SANDISK-480GB-EXTREMEPRO-SSD-SATA-B/4831348.aspx?pfm=srh","SANDISK 480GB EXTREMEPRO SSD SATA (B","SanDisk","4831348","Solid state drive480 GBinternal2.5""SATA 6Gb/s","Call","$169.99","https://webobjects2.cdw.com/is/image/CDW/3430700?$product-main$","SDSSDXPS-480G-G25.jpg","4 in","0.3 in","null","2.7 in"
